External ID,Item Name,Item Description,Release Date,Expiry Date,Weight,Template ID,Enabled,EntityId,Classifications,Address,N/A,City,State,Zipcode,Country of domain purchase is made from,Start Date,Age,Class,Venue,Entry Fee,Registration Form,Reg Form,Flyer
4415865,Mother's Day Tournament,"2 World Series Berths Awarded per age/per class<br />
4 game guarantee Double Elimination
<p><strong>Tournament will include</strong>: Participant Awards, MVP Awards, Team Trophies &ndash; 1st thru 4th places, Full
Concessions, Individual Champion and Runner-up Awards, No Gate Fees, Tourney T&rsquo;s including team names
available for purchase, Softball Provided!</p>
",16-Oct-2013,11-May-2014,,1431728,Y,27070218,/Fast Pitch;/Fast Pitch/Illinois Tournaments;/Fast Pitch/Illinois State Tournaments/10/u;/Fast Pitch/Illinois State Tournaments/12/u;/Fast Pitch/Illinois State Tournaments/14/u;,,,Mattoon,IL,61938,US,09-May-2014,10/u 12/u 14/u,A & B,,$425.00,,/fast-pitch/fast-pitch-registration-form.pdf,/fast-pitch/2014 Mother's Day Tournament Flyer.pdf
4416909,2014 Aces Memorial Weekend Bash,"Place -&nbsp; Algonquin Lakes&nbsp; - 1401 Compton Dr / Presidential Park -&nbsp; 700 Highland Ave<br />
Kelliher Park - 800 Square Barn Rd<br />
Max - 16 Teams per Division<br />
<br />
$475.00 Entrance fee - Teams must be registered with USSSA<br />
<br />
4 Game Guarantee &ndash; weather permitting<br />
USSSA Class C World Series Berth to 1st &amp; 2nd Place<br />
Team &amp; Individual Trophies for 1st &amp; 2nd Place
",17-Oct-2013,25-May-2014,,1431728,Y,27070218,/Fast Pitch;/Fast Pitch/Illinois Tournaments;/Fast Pitch/Class &quot;C&quot; Programs;/Fast Pitch/Illinois State Tournaments/10/u;/Fast Pitch/Illinois State Tournaments/12/u;/Fast Pitch/Illinois State Tournaments/14/u;/Fast Pitch/Illinois State Tournaments/16/u;,Various Parks,,Algonquin,IL,,US,24-May-2014,10/u 12/u 14/u 16/u,C,"Algonquin Lakes, Presidential Park and Kelliher Park",$475.00,,/fast-pitch/fast-pitch-registration-form.pdf,/fast-pitch/2014 Aces Memorial Weekend Bash Registration.pdf
4438638,Fox Valley Firecracker Tournament,"<ul>
    <li>This is a B level tournament</li>
    <li>2&nbsp; Qualifier births per level</li>
    <li>4 game guarantee weather permitting</li>
    <li>14 team maximum per level.&nbsp;&nbsp;&nbsp; (14U 18 team maximum) </li>
    <li>Pool play on Friday and Saturday </li>
    <li>Single bracket elimination on Sunday </li>
    <li>All games played at one location</li>
    <li>2 umpires for all games</li>
    <li>Concessions and T-Shirts available at each park</li>
    <li>Medals for 1st and 2nd place teams</li>
    <li>MVO ribbons each pool play game and Tournament MVP Trophy at end of tournament</li>
    <li>USSSA rules at all levels </li>
    <li><span style=""background-color: #ffff00;""><strong>Each team must be USSSA registered &amp; roster must be entered on ISTS prior to entry.</strong></span></li>
</ul>
",15-Nov-2013,29-Jun-2014,,1431728,Y,27070218,/Fast Pitch;/Fast Pitch/Illinois Tournaments;/Fast Pitch/Illinois State Tournaments/10/u;/Fast Pitch/Illinois State Tournaments/12/u;/Fast Pitch/Illinois State Tournaments/14/u;/Fast Pitch/Illinois State Tournaments/16/u;,,,"Geneva, IL",,,US,27-Jun-2014,10/u 12/u 14/u 16/u,B,Can be found on www.genevafoxes.org,$525.00,,/fast-pitch/fast-pitch-registration-form.pdf,/fast-pitch/2014Firecracker.pdf
4443979,2014 USSSA Illinois Gold Spring World Series Qualifier,"
",25-Nov-2013,04-May-2014,,1431728,Y,27070218,/Fast Pitch;/Fast Pitch/Illinois Tournaments;/Fast Pitch/Illinois State Tournaments/10/u;/Fast Pitch/Illinois State Tournaments/11/u;/Fast Pitch/Illinois State Tournaments/12/u;/Fast Pitch/Illinois State Tournaments/13/u;/Fast Pitch/Illinois State Tournaments/14/u;,See Flyer,,Rockford/Davis Junction,,,US,02-May-2014,10/u 11/u 12/u 13/u 14/u,Open,See Flyer,$405,,/fast-pitch/fast-pitch-registration-form.pdf,/fast-pitch/2014 FP Il Gold May 2-4 USSSA Spring Qual.pdf
4443980,2014 USSSA Illinois Gold Summer World Series Qualifier,"
",25-Nov-2013,09-Jun-2014,,1431728,N,27070218,/Fast Pitch;/Fast Pitch/Illinois Tournaments;/Fast Pitch/Illinois State Tournaments/14/u;/Fast Pitch/Illinois State Tournaments/16/u;/Fast Pitch/Illinois State Tournaments/18/u;,"Multiple, See Flyer",,Rockford/Davis Junction,,,US,06-Jun-2014,14/u 15/u 16/u 18/u,A & B,"Multiple, See Flyer",$405,,/fast-pitch/fast-pitch-registration-form.pdf,/fast-pitch/2014 USSSA Summer Qualifier #2.pdf
4443994,7th Annual Memorial Day Classic National Invitational Tournament,"<p>Maximum # of teams: 16 per age group</p>
<p>2 ""A"" &amp; 2 ""B"" World Series berths per age/class.</p>
",25-Nov-2013,25-May-2014,,1431331,Y,27070218,/Fast Pitch;/Fast Pitch/Illinois Tournaments;,,,Waukegan,IL,,US,24-May-2014,14/u 13/u 12/u 11/u 10/u 9/u,A B Open,"Waukegan Sports Park, Cook Park & Belvidere Par",$475,,,/Tournaments/4443994_341991_2014 FP 7th Annual May 27 NIT.pdf
4444001,12th Annual Ice Summer National Invitational Tournament,"<p>Maximum Teams: 16 per age group</p>
<p>3&nbsp;""A"" berths &amp; 3 ""B"" berths per age group</p>
<p>No game balls and no Gate fee.</p>
",25-Nov-2013,15-Jun-2014,,1431331,Y,27070218,/Fast Pitch;/Fast Pitch/Illinois Tournaments;,,,Waukegan,IL,,US,13-Jun-2014,18/u 16/u 15/u 14/u 12/u 10/u,A & B,"Waukegan Sports Park, Cook Park & Belvidere Par",$500,,,/Tournaments/4444001_341991_2014 FP 12th Annual June 13 NIT.pdf
4462170,Sauk Valley Storm Summer Challenge,"<p>4 game guarantee which includes 3 pool games into single elimination bracket. 10U/12U/14U/16U Open tournament. Class ""A"" and Class ""B"" World Series berths will be awarded to the appropriate age/class team based on the order of finish.</p>
<p>&nbsp;</p>
",13-Dec-2013,01-Jun-2014,,1431331,Y,27070218,/Fast Pitch;/Fast Pitch/Illinois Tournaments;,,,Morrison,IL,,US,31-May-2014,16/u 15/u 14/u 13/u 12/u 11/u 10/u,Open,Morrison Sports Complex,$350,,,/Tournaments/4462170_341991_2014 FP Storm Tournament Flyer in Morrison.pdf
4467562,14th Annual Storm Dayz,"<p>5 game minimum (weather permitting)</p>
<p>2 Umpires all games</p>
<p>USSSA berths to top 2 teams and Consolation Champion of each age group and Individual for top 2 teams at each age level and ALL 10U players.</p>
<p>Tournament begins at 8:am sharp on Friday. 200' fences on all 11 fields</p>
<p>Click on flyer for more info</p>
",23-Dec-2013,29-Jun-2014,,1431331,Y,27070218,/Fast Pitch;/Fast Pitch/Illinois Tournaments;,Airport Rd/Rt. 64,,Sycamore,IL,,US,27-Jun-2014,18/u 16/u 14/u 12/u 10/u,Open (A & B),Sycamore Community Park ,$495 + $100 parking fee,,,/Tournaments/4467562_341991_2014 FP Storm Dayz tournament in Sycamore.pdf
4467606,IL Gold Summer WS Qualifier,"<p>4 game guarantee, 2 Pool games into Double Elimination bracket.</p>
<p>Crystal Trophies awarded to 1st &amp; 2nd Place. Individual awards for 1st place and MVO/MVD awards for each age division.</p>
<p>Open class but will split ""A"" and ""B"" teams with 6 team minimum for each Class (10U &amp; 12U)</p>
<p>Parks to include; Davis Junction Park, Don Schmid Fields in Rockford and Stillman Valley HS</p>
<p>Click on flyer below for more info</p>
",23-Dec-2013,01-Jun-2014,,1431331,Y,27070218,/Fast Pitch;/Fast Pitch/Illinois Tournaments;,Davis Junction Park,,Davis Junction,IL,,US,31-May-2014,13/u 12/u 11/u 10/u,Open (A & B),Davis Junction Park,$405,,,/Tournaments/4467606_341991_2014 FP May 31 - June 2 IL Gold  USSSA Summer Qualifier.docx
